Attaching to ozone-om-ha-s3_s3g_1, ozone-om-ha-s3_datanode_2, ozone-om-ha-s3_datanode_3, ozone-om-ha-s3_om3_1, ozone-om-ha-s3_datanode_1, ozone-om-ha-s3_om2_1, ozone-om-ha-s3_scm_1, ozone-om-ha-s3_om1_1
s3g_1       | 2019-10-30 11:18:39,677 INFO hdfs.DFSUtil: Starting Web-server for s3gateway at: http://0.0.0.0:9878
s3g_1       | 2019-10-30 11:18:39,721 INFO util.log: Logging initialized @1675ms
s3g_1       | 2019-10-30 11:18:39,843 INFO server.AuthenticationFilter: Unable to initialize FileSignerSecretProvider, falling back to use random secrets.
datanode_2  | 2019-10-30 11:18:37,795 [main] INFO       - STARTUP_MSG: 
s3g_1       | 2019-10-30 11:18:39,890 INFO http.HttpRequestLog: Http request log for http.requests.s3gateway is not defined
datanode_2  | /************************************************************
s3g_1       | 2019-10-30 11:18:39,900 INFO http.HttpServer2: Added global filter 'safety' (class=org.apache.hadoop.http.HttpServer2$QuotingInputFilter)
datanode_2  | STARTUP_MSG: Starting HddsDatanodeService
s3g_1       | 2019-10-30 11:18:39,903 INFO http.HttpServer2: Added filter static_user_filter (class=org.apache.hadoop.http.lib.StaticUserWebFilter$StaticUserFilter) to context s3gateway
datanode_2  | STARTUP_MSG:   host = 7a743edda6f9/172.18.0.8
s3g_1       | 2019-10-30 11:18:39,904 INFO http.HttpServer2: Added filter static_user_filter (class=org.apache.hadoop.http.lib.StaticUserWebFilter$StaticUserFilter) to context static
datanode_2  | STARTUP_MSG:   args = []
s3g_1       | 2019-10-30 11:18:39,904 INFO http.HttpServer2: Added filter static_user_filter (class=org.apache.hadoop.http.lib.StaticUserWebFilter$StaticUserFilter) to context logs
datanode_2  | STARTUP_MSG:   version = 3.2.0
s3g_1       | 2019-10-30 11:18:39,924 WARN server.BaseHttpServer: /prof java profiling servlet is activated. Not safe for production!
s3g_1       | 2019-10-30 11:18:39,925 [main] INFO       - Starting Ozone S3 gateway
s3g_1       | 2019-10-30 11:18:39,942 INFO http.HttpServer2: Jetty bound to port 9878
