Attaching to hadoop32_om_1, hadoop32_s3g_1, hadoop32_datanode_2, hadoop32_datanode_3, hadoop32_datanode_1, hadoop32_scm_1, hadoop32_rm_1, hadoop32_nm_1
s3g_1       | 2019-11-13 12:26:32,492 INFO hdfs.DFSUtil: Starting Web-server for s3gateway at: http://0.0.0.0:9878
s3g_1       | 2019-11-13 12:26:32,527 INFO util.log: Logging initialized @1399ms
s3g_1       | 2019-11-13 12:26:32,637 INFO server.AuthenticationFilter: Unable to initialize FileSignerSecretProvider, falling back to use random secrets.
s3g_1       | 2019-11-13 12:26:32,664 INFO http.HttpRequestLog: Http request log for http.requests.s3gateway is not defined
om_1        | Waiting for the service scm:9876
datanode_2  | 2019-11-13 12:26:31,989 INFO ozone.HddsDatanodeService: STARTUP_MSG: 
datanode_3  | 2019-11-13 12:26:29,315 INFO ozone.HddsDatanodeService: STARTUP_MSG: 
s3g_1       | 2019-11-13 12:26:32,672 INFO http.HttpServer2: Added global filter 'safety' (class=org.apache.hadoop.http.HttpServer2$QuotingInputFilter)
om_1        | 2019-11-13 12:26:33,977 INFO om.OzoneManagerStarter: STARTUP_MSG: 
datanode_2  | /************************************************************
s3g_1       | 2019-11-13 12:26:32,675 INFO http.HttpServer2: Added filter static_user_filter (class=org.apache.hadoop.http.lib.StaticUserWebFilter$StaticUserFilter) to context s3gateway
datanode_3  | /************************************************************
datanode_1  | 2019-11-13 12:26:31,645 INFO ozone.HddsDatanodeService: STARTUP_MSG: 
om_1        | /************************************************************
s3g_1       | 2019-11-13 12:26:32,675 INFO http.HttpServer2: Added filter static_user_filter (class=org.apache.hadoop.http.lib.StaticUserWebFilter$StaticUserFilter) to context logs
datanode_3  | STARTUP_MSG: Starting HddsDatanodeService
rm_1        | WARNING: /opt/hadoop/logs does not exist. Creating.
datanode_2  | STARTUP_MSG: Starting HddsDatanodeService
datanode_1  | /************************************************************
s3g_1       | 2019-11-13 12:26:32,675 INFO http.HttpServer2: Added filter static_user_filter (class=org.apache.hadoop.http.lib.StaticUserWebFilter$StaticUserFilter) to context static
datanode_3  | STARTUP_MSG:   host = b24e0bcb8fb8/172.18.0.5
om_1        | STARTUP_MSG: Starting OzoneManager
nm_1        | WARNING: /opt/hadoop/logs does not exist. Creating.
datanode_2  | STARTUP_MSG:   host = bf46744958f4/172.18.0.7
scm_1       | 2019-11-13 12:26:28,506 INFO server.StorageContainerManagerStarter: STARTUP_MSG: 
datanode_1  | STARTUP_MSG: Starting HddsDatanodeService
om_1        | STARTUP_MSG:   host = om/172.18.0.9
rm_1        | 2019-11-13 12:26:27 INFO  ResourceManager:49 - STARTUP_MSG: 
datanode_2  | STARTUP_MSG:   args = []
datanode_3  | STARTUP_MSG:   args = []
s3g_1       | 2019-11-13 12:26:32,694 INFO s3.Gateway: Starting Ozone S3 gateway
nm_1        | 2019-11-13 12:26:27 INFO  NodeManager:51 - STARTUP_MSG: 
scm_1       | /************************************************************
datanode_1  | STARTUP_MSG:   host = 3a3de7f35211/172.18.0.6
om_1        | STARTUP_MSG:   args = [--init]
rm_1        | /************************************************************
datanode_3  | STARTUP_MSG:   version = 3.2.0
datanode_2  | STARTUP_MSG:   version = 3.2.0
s3g_1       | 2019-11-13 12:26:32,704 INFO http.HttpServer2: Jetty bound to port 9878
nm_1        | /************************************************************
scm_1       | STARTUP_MSG: Starting StorageContainerManager
datanode_1  | STARTUP_MSG:   args = []
om_1        | STARTUP_MSG:   version = 3.2.0
