Attaching to ozone-topology_datanode_4_1, ozone-topology_om_1, ozone-topology_datanode_1_1, ozone-topology_datanode_3_1, ozone-topology_datanode_2_1, ozone-topology_scm_1
datanode_1_1  | 2019-11-07 03:36:47,785 INFO ozone.HddsDatanodeService: STARTUP_MSG: 
datanode_1_1  | /************************************************************
om_1          | 2019-11-07 03:36:46,676 INFO om.OzoneManagerStarter: STARTUP_MSG: 
datanode_4_1  | 2019-11-07 03:36:46,686 INFO ozone.HddsDatanodeService: STARTUP_MSG: 
om_1          | /************************************************************
datanode_1_1  | STARTUP_MSG: Starting HddsDatanodeService
datanode_4_1  | /************************************************************
om_1          | STARTUP_MSG: Starting OzoneManager
datanode_1_1  | STARTUP_MSG:   host = 351700def89a/10.5.0.4
datanode_4_1  | STARTUP_MSG: Starting HddsDatanodeService
datanode_3_1  | 2019-11-07 03:36:46,374 INFO ozone.HddsDatanodeService: STARTUP_MSG: 
datanode_1_1  | STARTUP_MSG:   args = []
om_1          | STARTUP_MSG:   host = 92c51f65c200/10.5.0.70
datanode_4_1  | STARTUP_MSG:   host = a3d03a3263e1/10.5.0.7
datanode_3_1  | /************************************************************
scm_1         | 2019-11-07 03:36:46,227 INFO server.StorageContainerManagerStarter: STARTUP_MSG: 
datanode_2_1  | 2019-11-07 03:36:46,041 INFO ozone.HddsDatanodeService: STARTUP_MSG: 
datanode_1_1  | STARTUP_MSG:   version = 3.2.0
om_1          | STARTUP_MSG:   args = [--init]
datanode_4_1  | STARTUP_MSG:   args = []
datanode_3_1  | STARTUP_MSG: Starting HddsDatanodeService
scm_1         | /************************************************************
